datetime,reason,weight,is_member,author_name,message,processed_msg
2022-01-04 22:16:40,weight_over,14.301909743340225,False,freeda garitty,Dramatically Restore Cross-unit Collaboration And Idea-sharing,"['Dramatically', 'Restore', 'Cross-unit', 'Collaboration', 'And', 'Idea-sharing']"
2022-01-04 22:16:40,weight_over,10.8473421724851,False,Hampton Stark,Seamlessly Promote Go Forward Infomediaries,"['Seamlessly', 'Promote', 'Go', 'Forward', 'Infomediaries']"
2022-01-04 22:16:41,weight_over,10.501885415399586,False,richie grein,Conveniently Benchmark Accurate Processes,"['Conveniently', 'Benchmark', 'Accurate', 'Processes']"
2022-01-04 22:16:41,weight_over,12.885537039289623,False,rex alverio,Proactively E-enable Frictionless Manufactured Products,"['Proactively', 'E-enable', 'Frictionless', 'Manufactured', 'Products']"
2022-01-04 22:16:41,weight_over,9.77642622552001,False,esperanza demoss,Holisticly Communicate Plug-and-play Paradigms,"['Holisticly', 'Communicate', 'Plug-and-play', 'Paradigms']"
2022-01-04 22:16:41,weight_over,11.261890280987714,False,huffs crese,Holisticly Benchmark High-payoff Action Items,"['Holisticly', 'Benchmark', 'High-payoff', 'Action', 'Items']"
2022-01-04 22:16:41,weight_over,17.238292178567086,False,liles snooc,"Appropriately Incentivize Empowered ""Outside The Box"" Thinking","['Appropriately', 'Incentivize', 'Empowered', '""Outside', 'The', 'Box""', 'Thinking']"
2022-01-04 22:16:41,weight_over,14.474638121882979,False,Lexie Arely victoria,Competently Optimize Corporate Catalysts For Change,"['Competently', 'Optimize', 'Corporate', 'Catalysts', 'For', 'Change']"
2022-01-04 22:16:42,weight_over,12.574625957912664,False,Burns cherish Jasmine perez,Fungibly Strategize Effective Outsourcing,"['Fungibly', 'Strategize', 'Effective', 'Outsourcing']"
2022-01-04 22:16:42,weight_over,9.74188054981146,False,renae hasenberg,Completely Matrix End-to-end Nosql,"['Completely', 'Matrix', 'End-to-end', 'Nosql']"
2022-01-04 22:16:42,weight_over,13.85281595912906,False,charline hilt,Enthusiastically Plagiarize Focused Services,"['Enthusiastically', 'Plagiarize', 'Focused', 'Services']"
2022-01-04 22:16:43,weight_over,10.32915703685683,False,marvin homer,Uniquely Restore Client-centered Resources,"['Uniquely', 'Restore', 'Client-centered', 'Resources']"
2022-01-04 22:16:43,weight_over,9.741880549811459,False,benjamin seagrave,Appropriately Reintermediate Timely Technologies,"['Appropriately', 'Reintermediate', 'Timely', 'Technologies']"
2022-01-04 22:16:44,weight_over,10.260065685439727,False,Macdonald henderson Powell mcclain,Uniquely Benchmark Bricks-and-clicks Channels,"['Uniquely', 'Benchmark', 'Bricks-and-clicks', 'Channels']"
2022-01-04 22:16:44,weight_over,10.640068118233792,False,beckw seren,Seamlessly Initiate Cross-platform Processes,"['Seamlessly', 'Initiate', 'Cross-platform', 'Processes']"
2022-01-04 22:16:45,weight_over,14.854640554677045,False,Jones Johnnie bailey,Credibly Grow Front-end Collaboration And Idea-sharing,"['Credibly', 'Grow', 'Front-end', 'Collaboration', 'And', 'Idea-sharing']"
2022-01-04 22:16:46,weight_over,10.950979199610751,False,rob vahena,Enthusiastically Disseminate Holistic Outsourcing,"['Enthusiastically', 'Disseminate', 'Holistic', 'Outsourcing']"
2022-01-04 22:16:45,weight_over,10.294611361148279,False,Maxam Schievelbein,Appropriately E-enable Impactful Platforms,"['Appropriately', 'E-enable', 'Impactful', 'Platforms']"
2022-01-04 22:16:46,weight_over,9.983700279771318,False,consuela deslandes,Seamlessly Recaptiualize Extensive Initiatives,"['Seamlessly', 'Recaptiualize', 'Extensive', 'Initiatives']"
2022-01-04 22:16:46,weight_over,12.850991363581073,False,milsa chere,Conveniently Monetize Leading-edge Total Linkage,"['Conveniently', 'Monetize', 'Leading-edge', 'Total', 'Linkage']"
2022-01-04 22:16:47,weight_over,11.84916676803309,False,rolande cassandra,Professionally Repurpose Focused Growth Strategies,"['Professionally', 'Repurpose', 'Focused', 'Growth', 'Strategies']"
2022-01-04 22:16:46,weight_over,15.683736771682277,False,Cherish Ronin,Globally Re-engineer Leveraged Leadership,"['Globally', 'Re-engineer', 'Leveraged', 'Leadership']"
2022-01-04 22:16:47,weight_over,10.087337306896972,False,aurelio westland,Dramatically Incubate Client-based Technology,"['Dramatically', 'Incubate', 'Client-based', 'Technology']"
2022-01-04 22:16:47,weight_over,9.949154604062766,False,mirtha whitteker,Proactively Matrix Exceptional Opportunities,"['Proactively', 'Matrix', 'Exceptional', 'Opportunities']"
2022-01-04 22:16:47,id_in_block_list,0,False,Burns cherish Jasmine perez,Collaboratively Incubate Long-term High-impact Processes,"['Collaboratively', 'Incubate', 'Long-term', 'High-impact', 'Processes']"
