datetime,reason,weight,is_member,channel_id,author_name,message,processed_msg
2022-03-07 18:47:36,,0,False,UCCaUFIER-lY8xH_HvI0jJZg,らるれし,楽しみすぎるー,['楽しみすぎるー']
2022-03-07 18:47:48,,0,False,UCwtetoo_g4S6YIYwKVDFWIA,ほろほろ・,どやしいたけ目かわいい,['どやしいたけ目']
2022-03-07 18:47:51,,0,False,UCXEVzjDnbIIvYqsz4pFaSwQ,スポンジ,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:48:09,,0,False,UCarsLDRh4wKAiIVLBYKiM2Q,柏木啓昭【かしわぎひろあき】,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:48:42,,0,False,UCNVbkpLehxOF-rJpRe7z6yQ,J・J・F,待機待機,['待機待機']
2022-03-07 18:48:49,,0,False,UCEgH1Xh1XOl3JbC5e0YvnzQ,ネッツァ,:fish:,emotes_only
2022-03-07 18:48:51,,0,False,UC1dcDC90ti9aODRvzfGJ3vw,NezuMi 2代目,待機:rice_ball:,['待機']
2022-03-07 18:49:06,,0,False,UC4WlCI_trEuCew4xIij3sCA,神響 Shinkyo,待機:ear_of_corn:,['待機']
2022-03-07 18:51:20,,0,False,UCQ1MRYAu5Oun-DmDftoXIQA,ソイソース,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:51:25,,0,False,UCETvZAMsML2x5dIBX5S0-Xg,名無しＨ,待機:rice_ball:,['待機']
2022-03-07 18:51:30,,0,False,UCYcnZlt54E-M1MnCnzDls8g,pocky 2,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:51:30,,0,False,UCqG7RIakJWLf7NtN23EjGNw,hogepiyo,たいやき,['たいやき']
2022-03-07 18:51:32,,0,False,UC96agl02sVejUCI5QZt1bug,07 rakugaki,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:52:04,,0,False,UCntURxXNZKF0bXbPkv1EaLg,藤田謹也,たいやき,['たいやき']
2022-03-07 18:52:15,,0,False,UC7YcnveKcphYwCB7mbyFIQg,りゃむぴー -ryamupi-(ホロ箱推し),待機:ear_of_corn:,['待機']
2022-03-07 18:52:16,,0,False,UCJLQmKTbCwALUOTebBauHIA,jo sh,待機:ear_of_corn:,['待機']
2022-03-07 18:52:19,,0,False,UCSW_LctqeCRQDvqVdmGfZ-w,イエガー,たいやき,['たいやき']
2022-03-07 18:52:21,,0,False,UCB3d5lRpWkPR7aSajpSsFlg,juan asuncion,Halo:goodvibes:,['Halo']
2022-03-07 18:52:31,,0,False,UCw-_XiaSr9cC4isYak4SGOw,グリード,たいやき,['たいやき']
2022-03-07 18:52:38,,0,False,UC-eZ0H1EIIGNTAA9q9Ga-uw,hero,たいやき,['たいやき']
2022-03-07 18:52:50,,0,False,UCB3d5lRpWkPR7aSajpSsFlg,juan asuncion,:buffering:,emotes_only
2022-03-07 18:52:56,,0,False,UC6zQIAgkpOgjUjmFlnjdBBw,Reverie Neko,待機:rice_ball:,['待機']
2022-03-07 18:53:39,,0,False,UC4YIRg8CoSncsRIoUZyq5RQ,兎亀けい【白狐会】,待機:ear_of_corn:,['待機']
2022-03-07 18:53:40,,0,False,UCB3d5lRpWkPR7aSajpSsFlg,juan asuncion,:shelterin::chillwcat:,emotes_only
2022-03-07 18:53:54,,0,False,UCw1G5K-SMTrRdFXNfFWuvyA,T-T囧,:chillwdog::chillwdog::chillwdog:,emotes_only
2022-03-07 18:53:55,,0,False,UC8xi-e6M0iAicdSzwr00wvw,Η i i r ο AMT,なるはや待機 :anchor:,['なるはや待機']
2022-03-07 18:53:57,,0,False,UCmTt2EoIrpkeID6jlsibmmQ,Aru,待機:rice_ball:,['待機']
2022-03-07 18:54:07,,0,False,UC1WaxMFq47Yl-eWVchgEsVA,ッピヒタ⚓️,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:54:29,,0,False,UCVHRa94LwGr8f05lg8tMnVw,つばさC,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:54:31,,0,False,UCE86xEn1unK-iCfGGF6r9FA,short stage,( ^)o(^ )ｂ,"['(', '^)o(^', ')ｂ']"
2022-03-07 18:54:40,,0,False,UCTaoY0fxiXC6LBmGKzXLsYg,Rarin,待機:ear_of_corn:,['待機']
2022-03-07 18:54:51,,0,False,UCfK72gs_36Abp8Boyk5zqGA,TypicalRice,待機:ear_of_corn::anchor::rice_ball:,['待機']
2022-03-07 18:54:53,,0,False,UCL5ylSBhWkr851RLyNweVTA,クッキ,待機:rice_ball:,['待機']
2022-03-07 18:55:26,,0,False,UCw-_XiaSr9cC4isYak4SGOw,グリード,待機:cherry_blossom:,['待機']
2022-03-07 18:55:29,,0,False,UCqvmmyzxAS6uH0ILSX6sptw,にしたま,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:55:30,,0,False,UCwRSlyBM68OFxQ-wnksPEWQ,ケラすす,たいやき,['たいやき']
2022-03-07 18:55:42,,0,False,UC6PLJq_9Sd1zxIV_ZylRJFQ,コウ,待機,['待機']
2022-03-07 18:55:52,,0,False,UCwtDBkrBuFlyEE7VEFINPfQ,猫じゃらしMark II,待機:rice_ball:,['待機']
2022-03-07 18:56:01,,0,False,UC7G0cjlxOslv97ZrTaWFEhA,はちびー,たいやき,['たいやき']
2022-03-07 18:56:08,,0,False,UCSooYGM0mU-ZBsJHA8-R1Tw,レットシーク,待機,['待機']
2022-03-07 18:56:18,,0,False,UCxJMUjHa18F4P2O-kmGYeoQ,ルタ002（ゼロゼロに）,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:56:18,,0,False,UCVdWg5QBQzaosLXOeRYFcPA,ほろらぶちゃん,たいやき,['たいやき']
2022-03-07 18:56:19,,0,False,UCTv4m0keDGQJIRidMT1TcMw,エレウス,待機,['待機']
2022-03-07 18:56:20,,0,False,UC8nk9PzsP7vvfGv3Rq1STGg,Hide,たいやき,['たいやき']
2022-03-07 18:56:20,,0,False,UCAIAgo8lumL3Ywf5BQcUgiw,ルーテン,たいやき,['たいやき']
2022-03-07 18:56:23,,0,False,UC0RMZWsgEEMZZEn1yfsiDHQ,Norah[ノーラ],待機:rice_ball:,['待機']
2022-03-07 18:56:29,,0,False,UCwNj3stkWQCVici21cZj8AQ,トゥルル・スター,待機:snowman:,['待機']
2022-03-07 18:56:30,,0,False,UCtFrDViEn4Dg7TCihKCWbsQ,零 壱,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:56:35,,0,False,UCmTt2EoIrpkeID6jlsibmmQ,Aru,あと4分,['あと4分']
2022-03-07 18:56:40,,0,False,UCH2IcrSPQoYQz1e2tEDDKNw,MUSTDIEちゃん,待機:snowman:,['待機']
2022-03-07 18:56:42,,0,False,UCnaxeMVSXi5I3F16yG7l06w,しずる,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:56:43,,0,False,UC7YcnveKcphYwCB7mbyFIQg,りゃむぴー -ryamupi-(ホロ箱推し),待機:ear_of_corn:,['待機']
2022-03-07 18:56:49,,0,False,UChgn8ZTD9o4q2BMrRsIt0Nw,凍月[itezuki],待機:snowman:,['待機']
2022-03-07 18:56:49,,0,False,UCzOy_kizMrELQCY-uH3IrWg,クーポ,待機:snowman_without_snow:,['待機']
2022-03-07 18:56:52,,0,False,UCVg3MKhptapbwr7UkclOv8Q,のあのねこねこ,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:56:52,,0,False,UC9CJCGHiEKICqIKVm8aSxxg,ユキ,待機:ear_of_corn:,['待機']
2022-03-07 18:56:53,,0,False,UC0ZCNATa9oYXPPv6Lj-8PrQ,Dark Pobre,たいやき,['たいやき']
2022-03-07 18:56:56,,0,False,UCSxCa0LY4RekDovaYWKmWhQ,推し引けぬKeith,たいやき,['たいやき']
2022-03-07 18:57:02,,0,False,UC1_M2YXFkvb4P4wWGybajCg,根付作家道甫「どうほ」[雪民],待機:snowman:,['待機']
2022-03-07 18:57:02,,0,False,UCFvDCozv1NQGYiCRWxdkYtA,しゃち,待機:anchor:,['待機']
2022-03-07 18:57:11,,0,False,UC6McYe54QNdTuygOnkSbVcg,ソーナンスもどきyuuta(ドラゴンタイプ),なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:57:13,,0,False,UCgXUs7qXzLhEgg9Bhg6J3ZA,超甘党なオオカミ,待機:rice_ball:,['待機']
2022-03-07 18:57:14,,0,False,UCkyccwg67G16uvWy0aanRyA,yamakyo,待機:rice_ball:,['待機']
2022-03-07 18:57:15,,0,False,UCFyjyMLhwCzlVVgv5JunRDw,フナキ電機,たいやき,['たいやき']
2022-03-07 18:57:17,,0,False,UCw-_XiaSr9cC4isYak4SGOw,グリード,たいやき,['たいやき']
2022-03-07 18:57:17,,0,False,UCcZEJ1VhhR5DLEWYSyxB86Q,Snow,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:57:21,,0,False,UC9Kn477hHaMmnF_End_KHCg,ローストポーク,たいやき,['たいやき']
2022-03-07 18:57:53,,0,False,UCzIJ5A2_Ah-Ouk4CvawAcgw,酢昆布ペテペテ,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:57:58,,0,False,UC2Jk_WIBQxtGoQrO9Frhoeg,やっほいやーま,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:57:58,,0,False,UC21ZNsvXgveszwAlH7aCN-Q,バーンシュタイク,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:58:00,,0,False,UClsxHPyfdLMdE9nW0k6tbWQ,裏庭の主,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:58:01,,0,False,UCw1G5K-SMTrRdFXNfFWuvyA,T-T囧,(ღゝᴗ╹)ノ♡♡♡,['(ღゝᴗ╹)ノ']
2022-03-07 18:58:05,,0,False,UCSd38pz5YCoDEJNEOmTVeoQ,Sinです。,たいやき,['たいやき']
2022-03-07 18:58:10,,0,False,UClq5NYzbBphBKBaIDNO6Gog,あこるし,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:58:11,,0,False,UCMwZ1cB0gqU9hNx9Z9ZULHg,夏の忘れ物,たいやき,['たいやき']
2022-03-07 18:58:16,,0,False,UCDz0Q48Y_XP_W_ZN8AkE68A,つかたん,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:58:17,,0,False,UCjA9BtVCSWp7_xNwEcy1iBA,Minato Ai 艾,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:58:19,,0,False,UCL77wTiZTQxsGqdyzIA4amA,mm ss,たいやき,['たいやき']
2022-03-07 18:58:20,,0,False,UCPCyDRigqhtSGxH0f9vgRKA,かきやん,待機:snowman:,['待機']
2022-03-07 18:58:22,,0,False,UCouQITMJiBrXlRxFd6ELY7Q,Cougar[クーガ]ｻﾌﾞ,待機,['待機']
2022-03-07 18:58:23,,0,False,UCmgbeL4tmfVGnDcGBToMf9Q,pantabetai,なるはや待機,['なるはや待機']
2022-03-07 18:58:24,,0,False,UCt_zXyAN80v0QZoI0uiMJsQ,ra to,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:58:27,,0,False,UCmdMoeXlkLrevj4Vc-jFqDg,楼守[ろうす],待機:rice_ball:,['待機']
2022-03-07 18:58:28,,0,False,UCknjjpAUCokvaYScbIWOg-Q,りば,はぁはぁ,['はぁはぁ']
2022-03-07 18:58:29,,0,False,UChihXYcE0NoYAl0uRZWfPww,祭北乃熊さいほくのくま,:crossed_swords:,emotes_only
2022-03-07 18:58:30,,0,False,UCTIWiijZC725CVLHFt7xSoA,雪間くるるぎ,待機！！,['待機！！']
2022-03-07 18:58:30,,0,False,UCT5dC4HTho515H_eOqhI7LQ,れいわんわんお,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:58:30,,0,False,UCYhHOeIdZF0oECI3ooQwrGA,ミッチィ,待機,['待機']
2022-03-07 18:58:31,,0,False,UCXoC_Bz74b0F14RY_EXTZaA,Tulio Oliveira,待機,['待機']
2022-03-07 18:58:35,,0,False,UCN6zj0mOBUijoq4tVNPpNGQ,vinsento,なるはや待機,['なるはや待機']
2022-03-07 18:58:38,,0,False,UCuDKpl5TlgN6QLq9KB2gIdg,あくあクルー,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:58:40,,0,False,UCB3d5lRpWkPR7aSajpSsFlg,juan asuncion,:OoOoo,[':OoOoo']
2022-03-07 18:58:40,,0,False,UCLrv0V_wX3UwK1nUEd762oQ,Writedraw,待機,['待機']
2022-03-07 18:58:42,,0,False,UCr1ItksQKPHobSFjm605uVw,みら,待機,['待機']
2022-03-07 18:58:42,,0,False,UCw-_XiaSr9cC4isYak4SGOw,グリード,たいやき,['たいやき']
2022-03-07 18:58:42,,0,False,UCML6oKeS0PQ1gnXkwLO6ekw,青色,待機,['待機']
2022-03-07 18:58:46,,0,False,UC1GQ5ibw60WuDLtFum52a8A,幸せミルクが止まらない,たいやき,['たいやき']
2022-03-07 18:58:47,,0,False,UCFj9TjlnFUeBpnB3IdFfS3Q,きりん,:anchor:,emotes_only
2022-03-07 18:58:52,,0,False,UCWqE_UzFlgvtfXuXZ_WyR1Q,カガ,待機！待機！待機！待機！待機！,['待機！待機！待機！待機！待機！']
2022-03-07 18:58:52,,0,False,UCFvDCozv1NQGYiCRWxdkYtA,しゃち,:anchor:,emotes_only
2022-03-07 18:58:53,,0,False,UCU7wyaSYd17Dof9tsF14ZLA,くまにゃんROCKY,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:58:57,,0,False,UC5CRdQiHKfwtGVWQEiAha1w,Wewe Aua,大気,['大気']
2022-03-07 18:58:59,,0,False,UCn2HFhWjTEhhmGL5-2jXtNA,Karo-雪民-,らみらみ,['らみらみ']
2022-03-07 18:59:02,,0,False,UCHHGljmUQKKAggbch8q8gaQ,遠野はるすけ,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:59:10,,0,False,UCiBiTmHYvybVgBGArnr8qrA,念仏唱えられた馬🌽,お邪魔します。待機(｀・ω・´):sparkles:,['お邪魔します。待機(｀・ω・´)']
2022-03-07 18:59:11,,0,False,UCzOy_kizMrELQCY-uH3IrWg,クーポ,らみらみ,['らみらみ']
2022-03-07 18:59:11,,0,False,UCEl71DnEtQrH6m8Rqi4ZgYw,原っぱ,花粉で泣きながら待機w,['花粉で泣きながら待機w']
2022-03-07 18:59:12,,0,False,UCwgyP4U2js0dmxLmluNp4tA,いごっそう,クソデカBGM待機,['クソデカBGM待機']
2022-03-07 18:59:13,,0,False,UCuznmiKJj8x6fyVeTNxE5fw,Yu Ne,待機:snowflake: らみらみ～,"['待機', 'らみらみ～']"
2022-03-07 18:59:14,,0,False,UCHsUiRpO6lsg2b-PqNCZWCg,夕闇灯火「ゆうやみとうか」,わくわく,['わくわく']
2022-03-07 18:59:16,,0,False,UC7I8aOZj0Ttho_C6j9JwOLg,徳/Ток,:crossed_swords::crossed_swords::crossed_swords:,emotes_only
2022-03-07 18:59:18,,0,False,UCufh5frUh_EdPZUrQkV0esw,MoguMoguTakoyaki,わくわく,['わくわく']
2022-03-07 18:59:19,,0,False,UCLvVqJCV-bH1GmqiXs3GnEw,歩成ト金,待機:ear_of_corn:,['待機']
2022-03-07 18:59:19,,0,False,UCoKpOS4cl8_q-3rNm8WFNsw,深碧【しんぺき】,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:59:23,,0,False,UCDnxXGX1Yq6yb9dDlALJXwQ,ACAねさん大好きマン,待機シャトル,['待機シャトル']
2022-03-07 18:59:24,,0,False,UCyyDRHWiWvJN7TMpnLVBWHg,らうりー,たいやき,['たいやき']
2022-03-07 18:59:24,,0,False,UC7YcnveKcphYwCB7mbyFIQg,りゃむぴー -ryamupi-(ホロ箱推し),待機！待機！待機！:ear_of_corn:,['待機！待機！待機！']
2022-03-07 18:59:28,,0,False,UCS8jDgwhyIAJ5EWLAZVC4tA,Derek,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:59:29,,0,False,UCmJ2gsdXhpYX_h3VUOz5HMQ,ぶどうラーメン役職鏡,わくわく〜,['わくわく〜']
2022-03-07 18:59:29,,0,False,UCze2Z-yHeYYerJxlWghnz3Q,vega,待機,['待機']
2022-03-07 18:59:29,,0,False,UCw-_XiaSr9cC4isYak4SGOw,グリード,:cherry_blossom::cherry_blossom::cherry_blossom:,emotes_only
2022-03-07 18:59:30,,0,False,UC6S3DgGlkQ-qLxmaEiZaYAQ,Fajri 17,kochenggg,['kochenggg']
2022-03-07 18:59:30,,0,False,UCxJMUjHa18F4P2O-kmGYeoQ,ルタ002（ゼロゼロに）,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:59:31,,0,False,UCL5k-Tb7CCO5KJ8hTNNdYIA,Lejay[ルジェ],待機,['待機']
2022-03-07 18:59:34,,0,False,UC5CRdQiHKfwtGVWQEiAha1w,Wewe Aua,wktk,['wktk']
2022-03-07 18:59:35,,0,False,UCzb1fnyM0sSVEJAaue1Cn4w,syupa aaa,wktk,['wktk']
2022-03-07 18:59:36,,0,False,UCEYb0K3MHAC9edaHJSMp8FA,るか,なるはや待機:anchor:,['なるはや待機']
2022-03-07 18:59:37,,0,False,UCIO8XQBWu4vifNHWpuenKAQ,しろくままままま,あー,['あー']
2022-03-07 18:59:38,,0,False,UCwgyP4U2js0dmxLmluNp4tA,いごっそう,鼓膜ないなった待機,['鼓膜ないなった待機']
2022-03-07 18:59:38,,0,False,UCgPYtJ3OP1qtuzY0iMvXpAg,chikuwa shacho,待機,['待機']
2022-03-07 18:59:39,,0,False,UCYcnZlt54E-M1MnCnzDls8g,pocky 2,わくわく…,['わくわく…']
2022-03-07 18:59:39,,0,False,UCThvow66HUZt8AUsNUs-9_g,まさやま,楽しみ,['楽しみ']
2022-03-07 18:59:39,,0,False,UCS9wH50_wUaDHLC0Gtdjd8A,田舎の学生さん,待機,['待機']
2022-03-07 18:59:40,,0,False,UChihXYcE0NoYAl0uRZWfPww,祭北乃熊さいほくのくま,爆音注意:ear::high_voltage:,['爆音注意']
2022-03-07 18:59:40,,0,False,UCT5dC4HTho515H_eOqhI7LQ,れいわんわんお,なるはや待機:anchor:,['なるはや待機']
